trip_id,origin_node_id,destination_node_id,departure_time_s,mode,dest_source
t66,n5255,n137949,21600,car,schedule
t67,n5296,n120665,21600,car,schedule
t68,n53347,n81854,21600,car,schedule
t69,n5372,n121995,21600,car,schedule
t70,n54790,n92357,21600,car,schedule
t71,n54988,n47302,21600,car,schedule
t72,n55505,n64931,21600,car,schedule
t73,n5601,n32681,21600,car,schedule
t74,n59245,n61176,21600,car,schedule
t75,n59481,n130032,21600,car,schedule
t76,n599,n56161,21600,car,schedule
t77,n60050,n138203,21600,car,schedule
t78,n65361,n88160,21600,car,schedule
t79,n6592,n69250,21600,car,schedule
t80,n65932,n67608,21600,car,schedule
t81,n68505,n114718,21600,car,schedule
t82,n69083,n50784,21600,car,schedule
t83,n75481,n93249,21600,car,schedule
t84,n77005,n137972,21600,car,schedule
t85,n8061,n93005,21600,car,schedule
t86,n83083,n51087,21600,car,schedule
t87,n8667,n119061,21600,car,schedule
t88,n8808,n109057,21600,car,schedule
t89,n9249,n143382,21600,car,schedule
t90,n9492,n146655,21600,car,schedule
t91,n97711,n84794,21600,car,schedule
t92,n50674,n49333,21607,car,schedule
t93,n142465,n139802,21616,car,schedule
t94,n6100,n80548,21653,car,schedule
t95,n96357,n75518,21680,car,schedule
t96,n17158,n74656,21702,car,schedule
t97,n131427,n79680,21708,car,schedule
t98,n50780,n57005,21728,car,schedule
t99,n118173,n60634,21733,car,schedule
t100,n4746,n50538,21736,car,schedule
t101,n10335,n79357,21746,car,schedule
t102,n9057,n146765,21752,car,schedule
t103,n67834,n58772,21754,car,schedule
t104,n67814,n147874,21760,car,schedule
t105,n16043,n11781,21764,car,schedule
t106,n8496,n68833,21785,car,schedule
t107,n25712,n81567,21791,car,schedule
t108,n78066,n120665,21796,car,schedule
t109,n45673,n136813,21798,car,schedule
t110,n56898,n55249,21836,car,schedule
t111,n19763,n56673,21838,car,schedule
t112,n44366,n55543,21842,car,schedule
t113,n123550,n36076,21855,car,schedule
t114,n8262,n74038,21856,car,schedule
t115,n6353,n69120,21861,car,schedule
t116,n23475,n78017,21867,car,schedule
t117,n29564,n137965,21874,car,schedule
t118,n12915,n134899,21879,car,schedule
t119,n17891,n79181,21880,car,schedule
t120,n61309,n127256,21883,car,schedule
t121,n112428,n49333,21885,car,schedule
t122,n25333,n6428,21885,car,schedule
t123,n3221,n88900,21892,car,schedule
t124,n146659,n120636,21902,car,schedule
t125,n22793,n148666,21902,car,schedule
t126,n22419,n131369,21906,car,schedule
t127,n69454,n86343,21907,car,schedule
t128,n4698,n47443,21908,car,schedule
t129,n10530,n20780,21909,car,schedule
t130,n1133,n15110,21918,car,schedule
t131,n9059,n66445,21919,car,schedule
t132,n20401,n116612,21927,car,schedule
t133,n2911,n62864,21932,car,schedule
t134,n138214,n59526,21943,car,schedule
t135,n11347,n112928,21944,car,schedule
t136,n62117,n123615,21949,car,schedule
t137,n59373,n78529,21954,car,schedule
t138,n15918,n29977,21970,car,schedule
t139,n38472,n54915,21972,car,schedule
t140,n1008,n19424,21975,bike,schedule
t141,n38756,n74142,21984,car,schedule
t142,n3233,n78483,21988,car,schedule
t143,n65940,n94725,21989,car,schedule
t144,n36895,n58926,21992,car,schedule
t145,n23392,n86117,22007,car,schedule
t146,n28458,n69508,22008,car,schedule
t147,n3090,n121231,22008,car,schedule
t148,n116372,n18139,22010,car,schedule
t149,n101639,n39017,22011,car,schedule
t150,n134191,n91100,22013,car,schedule
t151,n75234,n116356,22022,car,schedule
t152,n146662,n119061,22028,car,schedule
t153,n13304,n10458,22039,car,schedule
t154,n12198,n25426,22040,car,schedule
t155,n66770,n114344,22041,car,schedule
t156,n64919,n66446,22044,car,schedule
t157,n7858,n77370,22044,car,schedule
t158,n4783,n85998,22047,car,schedule
t159,n5751,n36903,22057,car,schedule
t160,n51324,n17223,22061,car,schedule
t161,n30658,n29594,22063,car,schedule
t162,n23514,n56410,22072,car,schedule
t163,n23990,n118232,22076,car,schedule
t164,n19639,n67607,22078,car,schedule
t165,n20103,n147342,22085,car,schedule
t166,n20575,n73687,22086,car,schedule
t167,n20450,n59351,22093,car,schedule
t168,n11175,n58844,22094,car,schedule
t169,n13292,n351,22094,car,schedule
t170,n6901,n37615,22099,car,schedule
t171,n2579,n94223,22117,car,schedule
t172,n2386,n48013,22128,car,schedule
t173,n82090,n61672,22135,car,schedule
t174,n100866,n78886,22154,bike,schedule
t175,n13887,n78698,22157,car,schedule
t176,n5613,n48090,22159,car,schedule
t177,n23210,n121864,22164,car,schedule
t178,n144064,n6080,22170,car,schedule
t179,n23170,n50663,22171,car,schedule
t180,n4750,n60416,22176,car,schedule
t181,n17983,n20067,22177,car,schedule
t182,n11260,n38620,22180,car,schedule
t183,n12083,n57202,22183,car,schedule
t184,n1990,n130049,22189,car,schedule
t185,n10511,n38203,22196,car,schedule
t186,n29557,n92002,22207,car,schedule
t187,n17901,n44173,22213,car,schedule
t188,n24223,n37615,22218,car,schedule
t189,n6142,n78348,22218,car,schedule
t190,n76989,n150538,22221,car,schedule
t191,n49061,n47302,22222,car,schedule
t192,n8130,n49687,22230,car,schedule
t193,n90090,n73552,22239,car,schedule
t194,n29578,n10677,22242,car,schedule
t195,n84152,n12908,22243,car,schedule
t196,n30098,n132888,22244,car,schedule
t197,n13675,n151350,22252,car,schedule
t198,n31680,n40730,22253,car,schedule
t199,n23545,n148136,22254,car,schedule
t200,n158727,n41890,22261,car,schedule
t201,n76422,n103363,22261,car,schedule
t202,n8076,n119993,22265,car,schedule
t203,n8074,n58797,22267,car,schedule
t204,n85346,n46606,22270,car,schedule
t205,n17133,n127666,22274,car,schedule
t206,n20517,n133450,22277,car,schedule
t207,n29620,n72889,22279,car,schedule
t208,n44519,n65301,22279,car,schedule
t209,n750,n5228,22291,car,schedule
t210,n97663,n119775,22294,car,schedule
t211,n56905,n6850,22309,car,schedule
t212,n57937,n127353,22309,car,schedule
t213,n6058,n95704,22310,car,schedule
t214,n7410,n48125,22314,car,schedule
t215,n30659,n34652,22325,car,schedule
t216,n2834,n16719,22327,car,schedule
t217,n74198,n68189,22328,car,schedule
t218,n7653,n145719,22333,car,schedule
t219,n144248,n104372,22341,car,schedule
t220,n63375,n120665,22341,car,schedule
t221,n85687,n103363,22341,car,schedule
t222,n150008,n6958,22343,car,schedule
t223,n19527,n1331,22346,car,schedule
t224,n10256,n92002,22361,car,schedule
t225,n53894,n112048,22362,car,schedule
t226,n41904,n9917,22365,car,schedule
t227,n140234,n97824,22373,bike,schedule
t228,n29605,n15656,22373,car,schedule
t229,n116821,n119995,22376,car,schedule
t230,n5600,n2473,22379,car,schedule
t231,n100972,n84874,22380,car,schedule
t232,n7287,n63876,22384,car,schedule
t233,n86403,n65845,22387,car,schedule
t234,n21403,n59875,22388,car,schedule
t235,n50865,n158906,22389,car,schedule
t236,n20089,n121244,22395,car,schedule
t237,n20567,n68914,22398,car,schedule
t238,n111229,n4967,22406,car,schedule
t239,n23278,n26737,22411,car,schedule
t240,n126631,n127007,22414,car,schedule
t241,n12245,n50790,22415,car,schedule
t242,n82287,n15342,22415,car,schedule
t243,n45031,n22577,22416,car,schedule
t244,n10952,n126326,22417,car,schedule
t245,n74432,n8588,22422,car,schedule
t246,n20030,n56671,22425,car,schedule
t247,n16558,n120665,22426,car,schedule
t248,n36956,n128881,22430,car,schedule
t249,n102209,n78388,22436,car,schedule
t250,n28644,n6923,22439,car,schedule
t251,n48483,n21185,22447,car,schedule
t252,n49524,n131483,22452,car,schedule
t253,n149746,n61317,22453,car,schedule
t254,n6317,n154799,22453,car,schedule
t255,n1107,n80548,22457,car,schedule
t256,n48004,n112008,22467,car,schedule
t257,n10250,n128424,22473,car,schedule
t258,n128409,n69608,22482,car,schedule
t259,n49247,n140335,22485,transit,schedule
t260,n145022,n73551,22493,car,schedule
t261,n3439,n132012,22500,car,schedule
t262,n17973,n90512,22501,car,schedule
t263,n1271,n120665,22502,car,schedule
t264,n12077,n61528,22507,car,schedule
t265,n33383,n61675,22513,car,schedule
t266,n49606,n15060,22517,car,schedule
t267,n29578,n55049,22531,car,schedule
t268,n108569,n29446,22533,car,schedule
t269,n17070,n76081,22537,car,schedule
t270,n5598,n58728,22541,car,schedule
t271,n6394,n56833,22544,car,schedule
t272,n135926,n47510,22545,car,schedule
t273,n4065,n46609,22546,car,schedule
t274,n760,n123053,22548,car,schedule
t275,n61693,n114554,22549,car,schedule
t276,n13171,n118397,22560,car,schedule
t277,n641,n37982,22562,car,schedule
t278,n1565,n18267,22567,car,schedule
t279,n90597,n49108,22570,car,schedule
t280,n7717,n60416,22575,car,schedule
t281,n4785,n39622,22576,car,schedule
t282,n11693,n50853,22582,car,schedule
t283,n78081,n77826,22582,car,schedule
t284,n57661,n38203,22585,car,schedule
t285,n17403,n81512,22590,car,schedule
t286,n2563,n149379,22590,car,schedule
t287,n112210,n149156,22593,car,schedule
t288,n18307,n91360,22597,car,schedule
t289,n78000,n10722,22597,car,schedule
t290,n49706,n50597,22605,car,schedule
t291,n45285,n22019,22611,car,schedule
t292,n154935,n49702,22620,car,schedule
t293,n140001,n157501,22621,car,schedule
t294,n6096,n992,22621,car,schedule
t295,n32464,n38780,22623,car,schedule
t296,n136127,n81047,22624,car,schedule
t297,n6876,n116356,22625,car,schedule
t298,n76896,n17876,22626,car,schedule
t299,n24421,n32367,22627,car,schedule
t300,n802,n6751,22628,car,schedule
t301,n11472,n48301,22629,car,schedule
t302,n16678,n148136,22629,car,schedule
t303,n20023,n53835,22632,car,schedule
t304,n1225,n107589,22634,car,schedule
t305,n1027,n991,22635,car,schedule
t306,n20522,n56161,22635,car,schedule
t307,n4537,n17700,22636,car,schedule
t308,n31398,n135918,22637,car,schedule
t309,n85021,n20220,22637,car,schedule
t310,n23971,n6209,22639,car,schedule
t311,n121441,n103660,22640,car,schedule
t312,n117540,n110496,22644,car,schedule
t313,n67485,n119061,22649,car,schedule
t314,n2395,n15094,22651,car,schedule
t315,n7821,n131369,22652,car,schedule
t316,n82240,n20375,22653,car,schedule
t317,n12663,n54910,22654,car,schedule
t318,n6308,n60416,22654,car,schedule
t319,n10897,n119024,22655,car,schedule
t320,n159024,n22171,22657,car,schedule
t321,n23577,n60322,22657,car,schedule
t322,n19723,n109057,22658,car,schedule
t323,n7511,n61673,22658,car,schedule
t324,n11947,n57294,22662,car,schedule
t325,n63103,n50597,22663,car,schedule
t326,n20392,n37615,22666,car,schedule
t327,n13602,n18544,22669,car,schedule
t328,n60526,n47503,22671,car,schedule
t329,n23991,n30965,22672,car,schedule
t330,n20874,n64497,22673,car,schedule
t331,n76729,n25713,22677,car,schedule
t332,n6141,n122212,22678,car,schedule
t333,n73330,n127811,22678,car,schedule
t334,n45273,n119061,22680,car,schedule
t335,n48610,n44351,22687,car,schedule
t336,n59183,n71182,22689,car,schedule
t337,n22058,n50039,22700,car,schedule
t338,n59101,n7045,22700,car,schedule
t339,n16594,n129694,22701,car,schedule
t340,n39212,n114205,22701,car,schedule
t341,n29370,n86011,22705,car,schedule
t342,n118139,n119464,22706,car,schedule
t343,n36906,n117679,22709,car,schedule
t344,n11382,n52508,22710,car,schedule
t345,n24792,n43431,22710,car,schedule
t346,n82491,n30446,22711,car,schedule
t347,n73573,n91360,22723,car,schedule
t348,n130206,n14042,22727,car,schedule
t349,n20106,n84831,22727,car,schedule
t350,n54907,n49832,22728,car,schedule
t351,n56431,n142327,22732,car,schedule
t352,n32348,n84292,22745,car,schedule
t353,n125533,n114740,22749,car,schedule
t354,n7969,n57154,22749,car,schedule
t355,n113333,n44972,22750,car,schedule
t356,n25704,n117860,22752,car,schedule
t357,n12807,n8636,22759,car,schedule
t358,n10362,n66709,22763,car,schedule
t359,n21925,n85209,22769,car,schedule
t360,n77034,n145930,22769,car,schedule
t361,n118240,n80548,22771,car,schedule
t362,n124374,n80548,22775,car,schedule
t363,n81109,n47616,22778,car,schedule
t364,n7193,n49498,22781,car,schedule
t365,n30097,n87283,22783,car,schedule
t366,n112458,n76189,22787,car,schedule
t367,n2834,n144632,22787,car,schedule
t368,n75472,n2133,22787,car,schedule
t369,n139823,n59416,22794,car,schedule
t370,n110892,n13639,22802,car,schedule
t371,n127627,n149860,22803,car,schedule
t372,n134935,n108571,22803,car,schedule
t373,n93518,n35433,22804,car,schedule
t374,n3559,n52346,22805,car,schedule
t375,n20414,n50538,22807,car,schedule
t376,n3990,n25421,22808,car,schedule
t377,n69202,n57119,22813,car,schedule
t378,n150310,n110509,22814,car,schedule
t379,n1961,n72738,22824,car,schedule
t380,n53432,n21492,22825,car,schedule
t381,n58703,n49413,22827,car,schedule
t382,n143716,n48301,22830,car,schedule
t383,n5334,n59801,22831,car,schedule
t384,n11420,n106008,22832,car,schedule
t385,n14959,n147354,22832,car,schedule
t386,n47079,n85294,22833,car,schedule
t387,n30567,n78698,22834,car,schedule
t388,n22577,n75173,22836,car,schedule
t389,n6854,n19752,22837,car,schedule
t390,n13657,n908,22842,car,schedule
t391,n28594,n85670,22842,car,schedule
t392,n12196,n49936,22845,car,schedule
t393,n24505,n29918,22845,car,schedule
t394,n1008,n29680,22848,car,schedule
t395,n7079,n128070,22852,car,schedule
t396,n112102,n116681,22854,car,schedule
t397,n83125,n92476,22854,car,schedule
t398,n14425,n47121,22855,car,schedule
t399,n138658,n123003,22859,car,schedule
t400,n2800,n56663,22862,car,schedule
t401,n5017,n140564,22863,car,schedule
t402,n71558,n92618,22864,car,schedule
t403,n78066,n94389,22864,car,schedule
t404,n56840,n108168,22865,car,schedule
t405,n113244,n44423,22867,car,schedule
t406,n402,n61361,22871,car,schedule
t407,n3437,n37615,22872,car,schedule
t408,n113896,n142289,22873,car,schedule
t409,n134439,n72784,22873,car,schedule
t410,n153485,n39185,22876,car,schedule
t411,n4755,n121524,22881,car,schedule
t412,n11587,n87699,22882,car,schedule
t413,n11635,n134178,22883,car,schedule
t414,n105870,n62937,22888,car,schedule
t415,n24005,n32681,22892,car,schedule
t416,n62206,n57770,22895,car,schedule
t417,n6511,n42712,22898,car,schedule
t418,n78160,n67439,22900,car,schedule
t419,n9059,n146546,22901,car,schedule
t420,n3488,n120665,22903,car,schedule
t421,n9455,n131345,22905,car,schedule
t422,n58954,n98146,22906,car,schedule
t423,n156594,n73132,22908,car,schedule
t424,n54217,n115067,22909,car,schedule
t425,n51331,n56545,22913,car,schedule
t426,n114451,n36945,22914,car,schedule
t427,n53689,n79765,22914,car,schedule
t428,n74517,n127175,22914,car,schedule
t429,n9058,n63224,22917,car,schedule
t430,n100745,n15342,22920,car,schedule
t431,n122389,n72075,22921,car,schedule
t432,n24402,n56467,22921,car,schedule
t433,n140013,n84020,22927,car,schedule
t434,n5601,n25171,22927,car,schedule
t435,n69418,n65506,22927,car,schedule
t436,n138619,n8448,22928,car,schedule
t437,n7661,n68773,22929,car,schedule
t438,n139865,n67069,22930,car,schedule
t439,n23388,n81050,22940,car,schedule
t440,n29643,n98146,22940,car,schedule
t441,n87519,n3992,22940,car,schedule
t442,n17924,n84000,22943,car,schedule
t443,n101721,n50654,22944,car,schedule
t444,n13674,n110271,22945,car,schedule
t445,n28458,n111675,22945,car,schedule
t446,n3347,n112372,22946,car,schedule
t447,n140180,n32352,22947,car,schedule
t448,n141633,n65845,22951,car,schedule
t449,n8117,n70645,22953,car,schedule
t450,n82500,n18048,22953,car,schedule
t451,n1028,n18098,22956,car,schedule
t452,n10849,n69525,22959,car,schedule
t453,n129807,n71656,22959,car,schedule
t454,n77367,n32291,22959,car,schedule
t455,n20023,n135889,22960,car,schedule
t456,n67448,n2958,22961,car,schedule
t457,n82500,n108848,22962,car,schedule
t458,n9057,n73474,22963,car,schedule
t459,n8262,n128159,22964,transit,schedule
t460,n22828,n17949,22968,car,schedule
t461,n45318,n103363,22968,car,schedule
t462,n130372,n69093,22973,car,schedule
t463,n57484,n36773,22976,car,schedule
t464,n6357,n48711,22978,car,schedule
t465,n2417,n6635,22979,car,schedule
t466,n119959,n108168,22980,car,schedule
t467,n17977,n70431,22981,car,schedule
t468,n20443,n59723,22982,car,schedule
t469,n23207,n32980,22984,car,schedule
t470,n90433,n117782,22984,car,schedule
t471,n5660,n30248,22985,car,schedule
t472,n129312,n87131,22986,car,schedule
t473,n119995,n2643,22988,car,schedule
t474,n17506,n134188,22989,car,schedule
t475,n23041,n119871,22989,car,schedule
t476,n19997,n85494,22991,car,schedule
t477,n146204,n37057,22992,car,schedule
t478,n59091,n154585,22994,car,schedule
t479,n151751,n29759,22998,car,schedule
t480,n47222,n76347,22999,car,schedule
t481,n114270,n36773,23000,car,schedule
t482,n57256,n102420,23001,car,schedule
t483,n2859,n54813,23006,car,schedule
t484,n69454,n7203,23009,car,schedule
t485,n16451,n68905,23012,car,schedule
t486,n11436,n129818,23013,car,schedule
t487,n72023,n80548,23021,car,schedule
t488,n77585,n15342,23021,car,schedule
t489,n141,n7840,23023,car,schedule
t490,n4202,n133296,23025,car,schedule
t491,n13759,n103758,23027,car,schedule
t492,n124775,n110510,23030,transit,schedule
t493,n85329,n47086,23033,car,schedule
t494,n71223,n50982,23034,car,schedule
t495,n4735,n103554,23040,car,schedule
t496,n6356,n20388,23043,car,schedule
t497,n117421,n83839,23044,car,schedule
t498,n7859,n58969,23044,car,schedule
t499,n12892,n66168,23045,car,schedule
t500,n20075,n18674,23048,car,schedule
t501,n3555,n73552,23048,car,schedule
t502,n144491,n97523,23049,car,schedule
t503,n4783,n62257,23049,car,schedule
t504,n5539,n87386,23051,car,schedule
t505,n134195,n84020,23052,car,schedule
t506,n59319,n69629,23052,car,schedule
t507,n20075,n140476,23054,car,schedule
t508,n75340,n44945,23054,car,schedule
t509,n17899,n116356,23055,car,schedule
t510,n785,n44575,23055,car,schedule
t511,n45815,n59801,23057,car,schedule
t512,n146204,n112077,23063,car,schedule
t513,n82902,n75498,23065,car,schedule
t514,n150609,n1111,23066,car,schedule
t515,n24706,n75050,23075,car,schedule
t516,n137061,n66932,23079,car,schedule
t517,n17533,n24866,23080,car,schedule
t518,n15605,n135205,23081,car,schedule
t519,n5706,n149993,23082,car,schedule
t520,n82500,n103363,23088,car,schedule
t521,n70591,n100054,23090,car,schedule
t522,n71127,n44678,23102,car,schedule
t523,n126800,n49632,23103,car,schedule
t524,n39918,n92470,23103,car,schedule
t525,n20563,n109058,23107,car,schedule
t526,n3488,n118373,23107,car,schedule
t527,n10093,n32681,23111,car,schedule
t528,n59059,n92002,23111,car,schedule
t529,n24749,n148164,23112,car,schedule
t530,n20766,n108168,23114,car,schedule
t531,n20350,n130853,23116,car,schedule
t532,n14398,n79772,23122,car,schedule
t533,n127402,n36126,23123,car,schedule
t534,n3273,n24549,23123,car,schedule
t535,n147582,n108789,23124,car,schedule
t536,n30681,n44133,23126,car,schedule
t537,n74700,n107026,23128,car,schedule
t538,n76433,n154799,23128,car,schedule
t539,n19908,n112795,23129,car,schedule
t540,n70419,n49786,23129,car,schedule
t541,n1113,n8664,23130,car,schedule
t542,n16060,n148897,23130,car,schedule
t543,n100,n53061,23131,car,schedule
t544,n101642,n131508,23132,car,schedule
t545,n77214,n47097,23132,car,schedule
t546,n54907,n53059,23133,car,schedule
t547,n30782,n133657,23134,car,schedule
t548,n24241,n43260,23135,car,schedule
t549,n9857,n103097,23136,car,schedule
t550,n1117,n47033,23141,car,schedule
t551,n26179,n25103,23141,car,schedule
t552,n96122,n60322,23141,car,schedule
t553,n108411,n41143,23142,car,schedule
t554,n66194,n71845,23143,car,schedule
t555,n102658,n137251,23145,car,schedule
t556,n113554,n146513,23145,car,schedule
t557,n1904,n111497,23145,car,schedule
t558,n20274,n92357,23145,car,schedule
t559,n5373,n121961,23148,car,schedule
t560,n8602,n64495,23149,car,schedule
t561,n11639,n20602,23151,car,schedule
t562,n60833,n103363,23151,car,schedule
t563,n67609,n33584,23156,car,schedule
t564,n97636,n57007,23156,car,schedule
t565,n127264,n86223,23157,car,schedule
t566,n7289,n86242,23162,car,schedule
t567,n125893,n29632,23163,car,schedule
t568,n138626,n81852,23164,car,schedule
t569,n1106,n61208,23165,car,schedule
t570,n68865,n59697,23166,car,schedule
t571,n52784,n128917,23168,car,schedule
t572,n63517,n108168,23171,car,schedule
t573,n68988,n135962,23173,car,schedule
t574,n125626,n44133,23174,car,schedule
t575,n148378,n47669,23174,car,schedule
t576,n116775,n58743,23179,car,schedule
t577,n142726,n128015,23182,car,schedule
t578,n21181,n131472,23182,car,schedule
t579,n102848,n47503,23183,car,schedule
t580,n18002,n33341,23184,car,schedule
t581,n138821,n6367,23186,car,schedule
t582,n154974,n50337,23187,car,schedule
t583,n82896,n32681,23187,car,schedule
t584,n9311,n75173,23190,car,schedule
t585,n46446,n108472,23194,car,schedule
t586,n23045,n55511,23195,car,schedule
t587,n5604,n139426,23203,car,schedule
t588,n88335,n114783,23205,car,schedule
t589,n1270,n153009,23206,car,schedule
t590,n137414,n82486,23207,car,schedule
t591,n11583,n11684,23208,car,schedule
t592,n11380,n89876,23211,car,schedule
t593,n35382,n61651,23213,car,schedule
t594,n23337,n77193,23215,car,schedule
t595,n49494,n143288,23217,car,schedule
t596,n24231,n143259,23218,car,schedule
t597,n119431,n21479,23221,car,schedule
t598,n89874,n74233,23221,car,schedule
t599,n16530,n38203,23225,car,schedule
t600,n109081,n112327,23226,car,schedule
t601,n42995,n56133,23226,car,schedule
t602,n20319,n102420,23227,car,schedule
t603,n23698,n128094,23232,car,schedule
t604,n47531,n119860,23236,car,schedule
t605,n17890,n37537,23237,car,schedule
t606,n14170,n92537,23240,car,schedule
t607,n1978,n37318,23240,car,schedule
t608,n2078,n62215,23240,car,schedule
t609,n83375,n68418,23242,car,schedule
t610,n22577,n122892,23244,car,schedule
t611,n64281,n52318,23244,car,schedule
t612,n78511,n67479,23245,car,schedule
t613,n43911,n87324,23248,car,schedule
t614,n5600,n50345,23250,car,schedule
t615,n72412,n36773,23250,car,schedule
t616,n29496,n121519,23251,car,schedule
t617,n87519,n101726,23251,car,schedule
t618,n129002,n84648,23254,car,schedule
t619,n9011,n17239,23257,car,schedule
t620,n109131,n109083,23259,car,schedule
t621,n19690,n32681,23260,car,schedule
t622,n48423,n148570,23261,car,schedule
t623,n78560,n86302,23261,car,schedule
t624,n102,n111675,23262,car,schedule
t625,n2959,n29406,23262,car,schedule
t626,n23990,n82366,23263,car,schedule
t627,n115830,n68784,23265,car,schedule
t628,n20277,n70160,23265,car,schedule
t629,n10183,n50195,23266,car,schedule
t630,n5161,n52714,23266,car,schedule
t631,n13517,n110271,23270,car,schedule
t632,n110634,n47665,23272,car,schedule
t633,n68900,n69093,23272,car,schedule
t634,n102157,n95496,23273,car,schedule
t635,n62855,n6208,23273,car,schedule
t636,n21176,n95530,23275,car,schedule
t637,n20276,n113272,23276,car,schedule
t638,n3439,n23998,23276,car,schedule
t639,n58954,n24788,23276,car,schedule
t640,n131213,n109057,23284,car,schedule
t641,n29590,n121519,23285,car,schedule
t642,n8774,n77740,23285,car,schedule
t643,n24998,n18118,23286,car,schedule
t644,n59373,n129220,23286,car,schedule
t645,n66319,n38633,23286,car,schedule
t646,n16451,n3992,23287,car,schedule
t647,n117540,n110913,23288,car,schedule
t648,n14403,n58171,23292,car,schedule
t649,n46480,n6292,23293,car,schedule
t650,n23227,n57885,23295,car,schedule
t651,n114499,n53835,23296,car,schedule
t652,n3378,n54915,23298,car,schedule
t653,n11469,n63129,23303,car,schedule
t654,n20224,n84648,23303,car,schedule
t655,n102449,n137145,23305,car,schedule
t656,n5861,n36773,23305,car,schedule
t657,n9084,n30737,23306,car,schedule
t658,n133784,n92002,23309,car,schedule
t659,n17035,n102429,23309,car,schedule
t660,n75784,n38991,23310,car,schedule
t661,n14600,n49839,23312,car,schedule
t662,n3284,n92599,23312,car,schedule
t663,n962,n46444,23313,car,schedule
t664,n84072,n52982,23314,car,schedule
t665,n86385,n74450,23314,car,schedule
t666,n11382,n53695,23316,car,schedule
t667,n136033,n58912,23316,car,schedule
t668,n119733,n87578,23320,car,schedule
t669,n2387,n22680,23322,car,schedule
t670,n4734,n73976,23324,car,schedule
t671,n71213,n3865,23324,car,schedule
t672,n91715,n10820,23326,car,schedule
t673,n119182,n62172,23327,car,schedule
t674,n10353,n73417,23328,car,schedule
t675,n135180,n67155,23328,car,schedule
t676,n76755,n25931,23328,car,schedule
t677,n146387,n44679,23329,car,schedule
t678,n155444,n67394,23331,car,schedule
t679,n156743,n47669,23331,car,schedule
t680,n2862,n137706,23332,car,schedule
t681,n30195,n85180,23332,transit,schedule
t682,n19764,n116688,23334,car,schedule
t683,n269,n116822,23336,car,schedule
t684,n23358,n87966,23338,transit,schedule
t685,n114451,n50458,23339,car,schedule
t686,n64471,n48125,23339,car,schedule
t687,n83479,n110510,23341,car,schedule
t688,n11469,n119074,23342,car,schedule
t689,n123410,n21063,23344,car,schedule
t690,n14874,n76977,23350,car,schedule
t691,n6924,n118075,23352,car,schedule
t692,n121625,n37431,23354,car,schedule
t693,n124133,n16533,23356,car,schedule
t694,n9796,n48990,23360,car,schedule
t695,n109701,n32681,23361,car,schedule
t696,n2434,n59041,23361,car,schedule
